N,P,K,rainfall,humidity,temperature,Soil_Moisture,Sunshine_hours,Wind_speed,pH,Organic_Carbon
19,47,5,433.4677674,55.8,23.74,41.03,10.61,5.12,5.93,0.75
124,7,148,1168.380086,82.6,19.47,50.28,9.66,5.04,5.8,0.94
15,74,42,2749.604633,34.19,34.71,23.77,9.21,8.74,7.32,0.5
47,22,117,1574.023085,65.46,20.81,44.83,10.03,8.55,6.72,1.19
19,47,5,433.4677674,55.8,23.74,32.5,8.23,9.94,5.95,0.53
47,22,117,1574.023085,65.46,20.81,44.22,7.65,15.15,6.35,0.79
35,9,83,852.5250834,48.47,25.67,35.58,8.6,16.42,6.69,0.98
69,12,54,1313.173459,47.81,30.96,37.45,4.77,6.64,5.81,1.07
39,13,46,853.942573,80.93,34.25,49.19,6.64,11.44,6.1,1.6
44,13,61,1748.53579,31.52,21.9,25.75,9.52,7.13,6.65,0.98
40,78,13,1679.265535,33.73,31.99,26.61,7.2,17.21,6.34,0.55
103,55,37,441.4556549,81.01,19.4,53.79,8.12,11.69,7.16,0.59
96,10,149,680.7759717,58.29,39.1,41.08,5.24,14.29,6.72,1.24
27,95,58,2609.212646,80.74,17.79,54.37,7.03,10.03,6.23,0.63
12,22,17,2212.133471,63.42,30.54,44.91,6.26,8.05,5.97,1.07
51,45,109,1193.387569,61.25,32.69,32.15,6.01,6.01,5.82,0.31
40,80,55,1847.735745,35.06,15.87,29.31,5.35,3.41,6.84,0.42
42,6,23,1152.740698,76.53,17.61,45.32,8.31,8.62,5.92,0.73
116,37,136,1228.057333,32.12,36.37,21.35,7.67,15.4,6.53,0.51
16,73,29,1968.757038,73.33,18.85,48.45,9.54,4.21,7.04,0.71
75,64,41,2460.152841,87.47,30.83,53.79,7.87,4.9,7.26,0.62
27,95,58,2609.212646,80.74,17.79,49.25,8.85,4.92,6.77,0.68
46,46,11,2245.433721,39.53,22.02,31.26,6.34,14.73,6.34,0.83
39,32,96,1200.716942,41.86,30.04,27.44,8.49,21.26,6.92,1.22
114,39,135,920.2917771,44.24,17.96,32.28,8.25,5.79,6.42,0.68
97,27,42,991.1965339,53.17,35.45,37.7,8.49,10.2,7.07,0.96
36,22,87,833.2035567,56.63,28.58,34.97,8.68,13.64,6.73,1.29
49,76,17,2255.482507,77.11,29.69,52.63,4.15,7.66,6.59,0.97
135,18,80,2822.25701,64,32.14,44.42,4.57,8.89,6.5,0.54
119,63,73,1846.93628,55.96,34.31,40.1,6.16,2.19,7.13,0.42
85,13,57,1742.49869,85.49,24.25,55.94,8.45,11.6,7.34,0.74
29,60,124,1557.429497,67.07,20.73,45.21,5.1,14.42,5.58,0.6
112,88,122,909.5401901,64.95,34.13,39.03,7.48,15.98,6.78,0.35
42,6,23,1152.740698,76.53,17.61,53.26,6.31,15.81,7.4,0.68
131,65,149,1946.34,82.96,22.47,53.71,10.28,8.46,6.8,0.66
34,49,112,840.1295652,48.45,21.16,36.32,8.67,4.49,6.35,0.77
119,63,73,1846.93628,55.96,34.31,45.47,5.7,19.43,5.97,1.07
100,30,114,760.1107444,55.28,36.92,35.63,7.96,6.51,7.37,0.49
40,10,8,2665.444348,62.67,26.95,39.02,4.47,9.73,5.78,0.73
17,69,6,2120.397033,57.54,26.87,37.55,6.36,8.98,5.71,0.4
102,94,15,2900.600989,47.62,32.06,34.11,7.71,16.98,7.01,0.92
59,78,129,881.4879006,86.93,32.53,56.18,8.47,14.07,6.98,0.66
17,69,6,2120.397033,57.54,26.87,39.83,8,16.28,6.37,0.39
69,12,54,1313.173459,47.81,30.96,33.82,8.31,9.59,6.68,0.93
65,6,109,1674.445889,73.98,25.2,48.88,6.42,3.45,5.72,0.79
127,5,149,575.668799,84.36,37.87,51.26,5.87,7.2,6.83,1.17
59,78,129,881.4879006,86.93,32.53,53.88,7.29,18.77,5.73,0.2
93,35,79,2334.771999,41.15,18.43,27.72,7.24,7.53,6.18,1.3
93,35,79,2334.771999,41.15,18.43,30.51,6.58,10.79,6.49,0.6
61,58,22,2506.499194,59.33,21.82,38.2,7.78,12.79,6.89,0.73
81,55,145,2069.359721,84.39,31.32,61.41,7.36,6.02,7.21,0.73
29,60,124,1557.429497,67.07,20.73,47.6,4.96,6.59,5.91,0.64
76,59,46,1558.525632,62.18,34.47,38.04,7.01,5.35,6.35,0.94
113,68,105,1591.770105,52.3,30.2,40.56,9.12,15.53,6.35,0.6
46,49,50,887.377491,82.46,39.76,51.69,7.55,7.02,5.68,1.05
116,37,136,1228.057333,32.12,36.37,26.89,5.67,11.64,6.42,1.13
46,40,75,2761.675684,36.39,30.61,27.46,4.41,16.72,5.75,0.96
103,55,37,441.4556549,81.01,19.4,50.61,7.76,10.09,6.94,1.11
61,58,22,2506.499194,59.33,21.82,37.21,6.7,11.62,6.4,1.14
40,80,55,1847.735745,35.06,15.87,32.47,6.42,12.63,5.84,0.98
66,17,5,1077.647995,31.58,17.94,19.41,5.98,9.66,7.43,0.51
27,95,58,2609.212646,80.74,17.79,52.52,5.77,12.48,7.07,0.98
17,69,6,2120.397033,57.54,26.87,40.1,6.81,12.5,5.79,1.32
83,33,98,2192.082742,89.96,23.05,61.89,5.34,10.89,5.89,0.2
40,78,13,1679.265535,33.73,31.99,19.16,8.9,9.18,6.31,0.79
51,82,84,1475.573154,34.9,18.03,32.62,7.62,7.76,5.78,0.59
42,97,71,1602.624082,68.28,34.17,43.48,4.85,9.45,7.02,0.75
93,35,79,2334.771999,41.15,18.43,31.16,9.89,6.74,5.69,0.75
34,49,112,840.1295652,48.45,21.16,34.82,6.82,9.34,6.45,1.01
82,59,146,2860.314286,31.67,27.82,19.99,7.86,9.44,6.88,0.91
16,73,29,1968.757038,73.33,18.85,45.68,7.48,3.93,6.31,0.31
86,53,135,2295.890405,75.62,28.2,48.45,8.85,8.64,7.31,0.37
102,94,15,2900.600989,47.62,32.06,32.07,7.75,6.07,6.08,1.09
81,55,145,2069.359721,84.39,31.32,52.63,5.51,6.11,5.75,0.78
44,13,61,1748.53579,31.52,21.9,24.97,7.91,9.94,6.95,0.66
12,22,17,2212.133471,63.42,30.54,45.36,7.1,12.47,6.91,0.88
100,79,12,1630.594214,39.02,21.23,32.99,6.86,7.8,5.71,0.74
40,10,8,2665.444348,62.67,26.95,41.71,6.85,11.13,6.2,0.81
46,40,134,2595.815744,45.14,25.37,32.44,7.75,6.8,6.55,1.02
42,6,23,1152.740698,76.53,17.61,49.68,6.14,2,7.49,0.72
44,13,61,1748.53579,31.52,21.9,17.42,8.13,12.26,6.41,0.47
52,82,116,2789.13934,82.52,16.19,58.95,4.78,11.37,6.07,0.75
119,50,12,551.2080396,30.33,25.99,21.67,6.86,10.06,5.59,0.28
1,66,115,2489.795303,65.46,23.8,45.75,4.46,11.52,6.17,0.77
69,12,54,1313.173459,47.81,30.96,33.86,7.55,2,6.59,0.86
37,90,89,1918.298323,40.3,36.9,26.86,8.54,15.89,5.62,0.36
41,92,54,2917.102941,66.83,32.6,46.82,5.3,13.8,7.36,0.53
37,90,89,1918.298323,40.3,36.9,30.53,7.83,2,7.04,0.33
19,47,5,433.4677674,55.8,23.74,36.01,8.38,12.88,7.25,0.34
47,67,141,2072.794767,84.93,19.56,53.08,6.6,8.39,6.08,0.77
66,17,5,1077.647995,31.58,17.94,22.75,5.76,11.72,7.27,1.24
42,6,23,1152.740698,76.53,17.61,52.49,9.06,9.79,5.8,1.17
112,22,41,857.2763908,70.66,27.12,43.78,8.5,18.48,5.82,0.81
112,88,122,909.5401901,64.95,34.13,43.85,5.19,2,6.68,0.96
95,12,138,1553.765624,45.27,27.05,32.72,6.53,15.28,6.33,0.92
138,96,149,2996.835029,32.99,27.15,19.82,5.8,6.67,7.02,0.58
50,57,121,2732.466477,69.22,15.84,43.79,5.6,2,5.86,0.65
100,30,114,760.1107444,55.28,36.92,37.21,3.86,5.83,7.27,0.44
132,98,82,1576.562469,36.37,34.38,27.07,7.69,11.69,6.53,0.9
51,82,84,1475.573154,34.9,18.03,24.42,6.04,5.87,7.32,0.48
76,59,46,1558.525632,62.18,34.47,39.03,6.12,12.91,7.27,0.67
102,23,18,658.7122068,75.64,28.04,51.99,6.92,10.04,6.58,0.64
52,82,116,2789.13934,82.52,16.19,54.56,7.77,7.16,6.43,0.32
131,65,149,1946.34,82.96,22.47,56.96,8.72,2.65,7.11,1
27,95,58,2609.212646,80.74,17.79,52.52,4.89,15.51,6.05,0.57
115,31,127,560.9065816,87.39,20.29,54.73,8.66,7.61,7.08,1.09
15,74,42,2749.604633,34.19,34.71,26.46,8.94,3.23,7.22,0.73
76,59,46,1558.525632,62.18,34.47,36.48,6.47,6.27,6.21,0.84
76,59,46,1558.525632,62.18,34.47,45.65,6.77,10.9,5.78,1.12
40,78,13,1679.265535,33.73,31.99,21.58,7.76,7.09,6.57,1.18
18,96,117,892.7335791,87.09,31.32,56.5,5.63,10.9,7.26,0.23
117,38,113,2955.791283,69.25,32.14,42.82,4.81,5.67,5.61,0.71
27,95,58,2609.212646,80.74,17.79,51.88,5.86,3.78,5.61,0.98
109,79,49,2627.315932,89.94,23.09,54.65,5.51,13.43,5.93,1.07
98,34,55,471.0873474,31.98,25.6,26.54,9.32,3.72,5.58,0.62
119,63,73,1846.93628,55.96,34.31,40.81,5.43,5.32,5.88,0.42
27,95,58,2609.212646,80.74,17.79,53.47,5.29,11.24,6.12,0.72
90,6,54,1836.058947,68.94,21.32,48.39,8.73,2.33,6.95,0.7
102,94,15,2900.600989,47.62,32.06,32.34,8.68,11.72,6.24,1.19
100,79,12,1630.594214,39.02,21.23,24.21,7.6,7.6,6.1,0.91
27,95,58,2609.212646,80.74,17.79,51.62,11.16,13.2,6.6,0.2
119,50,12,551.2080396,30.33,25.99,20.41,6.29,11.66,6.41,0.37
86,53,135,2295.890405,75.62,28.2,53.67,8.89,11.48,6.01,1.36
136,88,136,2009.422489,70.79,18.18,47.94,8.95,4.85,7,0.64
116,37,136,1228.057333,32.12,36.37,23.17,5.76,12.53,6.47,1.28
100,79,12,1630.594214,39.02,21.23,27.21,7.04,7.99,7.33,0.45
40,10,8,2665.444348,62.67,26.95,41.47,8.42,5.08,6.12,0.56
27,95,58,2609.212646,80.74,17.79,52.5,7.15,8.21,6.43,1.29
83,33,98,2192.082742,89.96,23.05,58.4,6.6,2,5.64,1.05
90,6,54,1836.058947,68.94,21.32,45.93,5.48,4.79,5.76,0.61
1,66,115,2489.795303,65.46,23.8,41.04,8.06,5.98,7.41,0.66
40,78,13,1679.265535,33.73,31.99,25.54,3,13.02,6.59,0.64
49,76,17,2255.482507,77.11,29.69,49.07,6.03,3.09,6.69,1.25
46,40,134,2595.815744,45.14,25.37,33.11,6.77,12.39,5.87,0.44
132,98,82,1576.562469,36.37,34.38,26.36,8.76,5.59,7.18,1.17
50,57,121,2732.466477,69.22,15.84,48.28,7.68,15.46,7.37,0.2
37,90,89,1918.298323,40.3,36.9,29.37,9.34,10.05,6.66,1.13
17,69,6,2120.397033,57.54,26.87,37.79,6.27,8.42,6.83,0.55
41,92,54,2917.102941,66.83,32.6,45.76,6.64,7.59,5.5,0.88
27,95,58,2609.212646,80.74,17.79,54.75,8.6,10.43,6.71,0.42
95,96,114,1189.551238,65.79,24.65,38.37,5.46,15.63,5.91,0.72
41,92,54,2917.102941,66.83,32.6,42.51,7.99,5.92,6.1,0.93
46,40,75,2761.675684,36.39,30.61,20.41,5.66,13.73,7.16,0.42
40,63,31,1674.500645,70.13,15.55,47.23,8.15,5.02,6.1,1.12
124,7,148,1168.380086,82.6,19.47,51.13,4.57,5.74,7.28,0.77
86,53,135,2295.890405,75.62,28.2,50.35,5.96,12.65,6.09,1.37
10,73,73,501.6837106,89.94,33.26,60.4,5.99,3.3,5.58,0.46
127,5,149,575.668799,84.36,37.87,52.86,6.94,2.01,7.16,0.68
132,98,82,1576.562469,36.37,34.38,29.83,5.33,9.07,5.61,0.93
124,7,148,1168.380086,82.6,19.47,57.19,10.11,2.26,7.44,1.24
124,7,148,1168.380086,82.6,19.47,52.76,4.47,12.21,6.26,1.04
98,34,55,471.0873474,31.98,25.6,20.54,8.51,14.32,6.06,0.98
47,22,117,1574.023085,65.46,20.81,45.53,6.29,6.24,7.47,0.43
75,64,41,2460.152841,87.47,30.83,62.25,7.77,7.44,6.91,0.82
37,90,89,1918.298323,40.3,36.9,28.75,10.07,5.84,6.22,0.74
90,6,54,1836.058947,68.94,21.32,50.36,6.29,11.88,6.04,0.87
102,94,15,2900.600989,47.62,32.06,32.63,8.01,5.69,5.84,0.87
40,75,63,2695.298176,44.73,36.4,27.87,7.78,8.68,6.18,0.85
124,7,148,1168.380086,82.6,19.47,53.92,8.01,7.55,6.59,0.63
36,22,87,833.2035567,56.63,28.58,39.46,6.64,4.68,6.28,0.76
40,78,13,1679.265535,33.73,31.99,26.68,3.57,11.5,6.66,1.03
44,13,61,1748.53579,31.52,21.9,24.9,9.74,17.29,6.83,0.7
50,57,121,2732.466477,69.22,15.84,45.2,6.08,15.59,6.77,0.72
136,88,136,2009.422489,70.79,18.18,51.98,8.2,4.97,5.8,0.55
50,57,121,2732.466477,69.22,15.84,49.47,7.3,8.86,7.04,0.23
102,28,45,1593.044878,52.57,22.28,36.25,8.31,14.45,5.79,0.77
55,21,136,1800.617222,54.71,18.93,44.42,8.15,7,7.36,0.54
109,79,49,2627.315932,89.94,23.09,59.9,4.78,12.39,6.15,0.95
10,73,73,501.6837106,89.94,33.26,56.47,6.63,19.39,5.55,0.62
125,78,77,1567.489465,36.08,22.67,24.69,7.2,5.86,7.44,0.42
114,32,38,2544.821499,88.45,29.81,58.12,8.56,13.68,5.81,0.77
49,76,17,2255.482507,77.11,29.69,54.39,7.68,5.03,6.25,1.18
82,21,98,2715.863393,63.61,29.51,46.74,8.64,12.13,6.48,0.62
136,88,136,2009.422489,70.79,18.18,46.91,6.06,13.1,7.48,1.41
51,82,84,1475.573154,34.9,18.03,32.48,7.1,11.12,6.57,0.92
65,6,109,1674.445889,73.98,25.2,49.04,7.11,8.4,6.01,1.12
1,38,7,2570.450313,61.28,35.62,41.67,8.52,14.54,5.85,0.2
90,6,54,1836.058947,68.94,21.32,48.21,5.9,10.74,6.46,0.65
46,49,50,887.377491,82.46,39.76,51.18,4.28,10.17,7.23,0.67
132,98,82,1576.562469,36.37,34.38,28.71,6.39,8.31,6.21,1.02
136,88,136,2009.422489,70.79,18.18,47.99,8.58,8.52,5.96,0.82
114,39,135,920.2917771,44.24,17.96,31.44,8.51,6.18,7.38,0.74
35,9,83,852.5250834,48.47,25.67,31.98,4.77,12.03,5.67,0.89
86,53,135,2295.890405,75.62,28.2,47.75,5.52,9.48,6.27,0.66
67,80,47,2153.248599,45.18,22.49,35.43,7.77,12.88,5.95,0.62
132,98,82,1576.562469,36.37,34.38,29.13,7.81,10.75,6.86,0.88
95,12,138,1553.765624,45.27,27.05,34.79,8.18,13.59,5.55,0.96
40,75,63,2695.298176,44.73,36.4,32.95,6.61,9.72,7.33,0.41
44,13,61,1748.53579,31.52,21.9,21.92,9.01,4.55,6.21,0.35
50,78,75,847.8546737,67.26,35.99,44.08,4.01,10.93,6.5,0.6
40,75,63,2695.298176,44.73,36.4,38.1,8.63,13.51,5.56,0.91
67,80,47,2153.248599,45.18,22.49,30.72,10.38,5.17,5.5,1.37
37,90,89,1918.298323,40.3,36.9,27.09,8.37,14.72,5.89,1.11
100,30,114,760.1107444,55.28,36.92,38.74,5.53,8.7,5.57,0.92
41,92,54,2917.102941,66.83,32.6,44.91,8.87,7.74,5.73,0.3
61,58,22,2506.499194,59.33,21.82,40.2,6.16,6.96,6.16,0.6
46,46,11,2245.433721,39.53,22.02,29.42,6.6,11.14,7.3,0.85
40,63,31,1674.500645,70.13,15.55,48.31,5.92,3.21,7.49,0.6
97,27,42,991.1965339,53.17,35.45,38.89,6.53,6.39,7.09,0.7
102,94,15,2900.600989,47.62,32.06,36,6.8,16.03,7.02,0.67
65,6,109,1674.445889,73.98,25.2,45.47,9.11,15.3,6.79,0.45
98,34,55,471.0873474,31.98,25.6,20.81,6.81,15.47,6.68,0.62
115,31,127,560.9065816,87.39,20.29,60.07,9.04,14.48,6.45,0.73
119,63,73,1846.93628,55.96,34.31,42.04,7.56,8.96,6.22,0.96
20,88,50,1346.544865,40.14,19.76,23.42,4.89,3.14,6.67,1.19
66,17,5,1077.647995,31.58,17.94,21.47,7.76,9.98,6.03,0.76
2,99,101,582.6991593,81.47,17.77,54.69,6.12,11.06,6.82,0.85
47,67,141,2072.794767,84.93,19.56,59.82,7.05,3.49,7,0.9
52,82,116,2789.13934,82.52,16.19,57.3,7.41,13.62,7.11,0.94
113,68,105,1591.770105,52.3,30.2,36.88,6.97,8.23,5.95,0.68
1,38,7,2570.450313,61.28,35.62,45.13,6.99,14.36,6.99,1.35
44,13,61,1748.53579,31.52,21.9,21.46,6.21,14.36,6.14,0.36
85,13,57,1742.49869,85.49,24.25,58.34,5.77,3.59,6.13,0.33
124,7,148,1168.380086,82.6,19.47,54.33,4.99,9.47,6.1,0.21
102,94,15,2900.600989,47.62,32.06,31.07,6.18,20.13,5.88,1.04
40,80,55,1847.735745,35.06,15.87,29.06,7.51,8.09,6.93,0.83
46,40,75,2761.675684,36.39,30.61,25.27,6.28,18.79,5.7,0.55
82,21,98,2715.863393,63.61,29.51,41.2,6.35,20.57,6.34,0.4
83,33,98,2192.082742,89.96,23.05,55.47,7.68,8.89,5.58,0.73
50,57,121,2732.466477,69.22,15.84,49,10.79,13.98,5.64,1.08
40,10,8,2665.444348,62.67,26.95,47.25,8.37,10.2,6.85,0.96
40,75,63,2695.298176,44.73,36.4,31.88,7.21,9.17,6.63,0.75
40,80,55,1847.735745,35.06,15.87,24.95,6.41,14.57,6.07,0.57
114,39,135,920.2917771,44.24,17.96,29.93,9.09,4.17,6.76,0.48
86,53,135,2295.890405,75.62,28.2,53.75,5.17,5.86,7.26,1.67
67,80,47,2153.248599,45.18,22.49,34.17,6.04,13.12,7.35,0.73
49,76,17,2255.482507,77.11,29.69,45.26,6.45,17.13,5.58,0.2
47,22,117,1574.023085,65.46,20.81,41.06,8.02,8.33,6.15,1.28
61,58,22,2506.499194,59.33,21.82,35.44,8.51,7.9,6.36,1.11
49,76,17,2255.482507,77.11,29.69,55.21,8.83,10.89,6.57,1.42
109,79,49,2627.315932,89.94,23.09,56.8,6.28,20.03,7.33,0.64
116,37,136,1228.057333,32.12,36.37,22.83,3,11.1,7.15,0.5
95,12,138,1553.765624,45.27,27.05,32.87,8.49,16.45,6.25,0.92
114,32,38,2544.821499,88.45,29.81,57.03,7.92,13.23,6.79,0.9
18,96,117,892.7335791,87.09,31.32,62.2,6.64,7.5,5.85,0.66
119,63,73,1846.93628,55.96,34.31,36.45,6.79,8.1,6.19,0.83
96,44,149,1260.823052,58.72,29.16,39.96,6.6,16.47,5.79,0.51
35,9,83,852.5250834,48.47,25.67,37.21,7.96,10.75,7.31,0.2
39,13,46,853.942573,80.93,34.25,49.82,9.28,12.01,6.7,1.13
97,27,42,991.1965339,53.17,35.45,39.2,5.09,2.53,5.67,1.07
102,23,18,658.7122068,75.64,28.04,52.19,3.86,10.36,5.5,0.73
47,22,117,1574.023085,65.46,20.81,42.47,8.69,7.65,6.18,0.78
93,35,79,2334.771999,41.15,18.43,29.53,6.24,7.29,6.64,0.88
114,39,135,920.2917771,44.24,17.96,31.68,7.44,8.48,5.54,0.77
1,5,54,953.706476,69.97,18.59,46.35,9.42,18.49,5.52,0.45
29,60,124,1557.429497,67.07,20.73,45.33,8.04,18.5,7.23,0.42
61,58,22,2506.499194,59.33,21.82,41.62,8.58,9.99,5.85,0.68
102,28,45,1593.044878,52.57,22.28,39.31,6.19,9.82,7.03,0.99
61,58,22,2506.499194,59.33,21.82,36.72,6.76,18.96,6.91,1.16
12,22,17,2212.133471,63.42,30.54,40.95,7.66,7.51,5.82,0.2
51,33,125,2452.856359,33.62,23.81,25.85,9.87,7.44,6.91,0.59
40,80,55,1847.735745,35.06,15.87,31.13,6.56,8.39,5.5,1.55
67,80,47,2153.248599,45.18,22.49,30.9,6.29,15.58,7.14,1.35
59,78,129,881.4879006,86.93,32.53,60.86,3,10.81,6.31,0.59
113,68,105,1591.770105,52.3,30.2,38.52,8.71,13.23,6.38,0.73
50,78,75,847.8546737,67.26,35.99,46.97,7.27,6.44,6.72,1.18
125,78,77,1567.489465,36.08,22.67,28.73,4.25,10.72,6.28,0.2
61,58,22,2506.499194,59.33,21.82,39.53,5.63,8.94,6.1,1.16
40,80,55,1847.735745,35.06,15.87,25.74,6.07,15.72,5.57,1.44
36,51,15,1714.398614,38.36,33.56,27.82,8.86,6.94,6.94,0.76
132,98,82,1576.562469,36.37,34.38,26.44,7.16,2,6.95,0.58
51,82,84,1475.573154,34.9,18.03,25.53,6.31,5.98,6.77,0.78
31,83,83,1114.25894,83.85,26.32,58.27,6.72,8.54,5.98,0.99
117,38,113,2955.791283,69.25,32.14,49.01,8.07,12.1,7.09,1.1
114,32,38,2544.821499,88.45,29.81,59.83,5.78,13.04,6.77,0.77
1,66,115,2489.795303,65.46,23.8,41.93,7.16,16.44,7.34,0.52
47,22,117,1574.023085,65.46,20.81,38.32,8.19,12.58,6.27,0.78
59,78,129,881.4879006,86.93,32.53,56.95,7.47,7.1,7.02,0.78
100,79,12,1630.594214,39.02,21.23,23.85,4.35,3.24,7.31,1.03
100,79,12,1630.594214,39.02,21.23,29.26,10.84,8.27,6,0.93
51,33,125,2452.856359,33.62,23.81,29.23,6.08,6.74,7.17,0.82
117,38,113,2955.791283,69.25,32.14,45.82,7.85,10.22,7.5,0.86
90,6,54,1836.058947,68.94,21.32,44.85,5.56,5.27,6.65,1.17
76,59,46,1558.525632,62.18,34.47,47.45,7.3,16.43,7.3,1.07
7,24,51,425.843861,83.99,38.01,55.86,7.3,9.25,5.86,0.41
90,6,54,1836.058947,68.94,21.32,48.57,6.27,22.2,5.62,1.2
82,21,98,2715.863393,63.61,29.51,45.15,7.53,13.24,7.05,0.62
1,5,54,953.706476,69.97,18.59,47.96,6.97,11.2,6.12,0.76
